,code,product_name,countries,nutrition_grade_fr,pnns_groups_1,pnns_groups_2,energy_100g,sugars_100g,nutrition-score-fr_100g
203863,3245412343988,Madeleines coquilles,en:FR,d,Sugary snacks,Biscuits and cakes,1895.0,29.0,13.0
203867,3245412373039,Orange 100 % Pur Fruit Pressé,en:FR,c,Beverages,Fruit juices,175.0,8.7,2.0
203879,3245412414909,Truffes fantaisie fondantes,en:FR,e,Sugary snacks,Chocolate products,2718.0,32.0,20.0
203880,3245412414916,Escargots Lait fourrage au praliné,en:FR,e,Sugary snacks,Chocolate products,2278.0,50.0,23.0
203882,3245412416620,Brownie Chocolat noisettes Carrefour,en:FR,d,Sugary snacks,Biscuits and cakes,1934.0,34.0,16.0
203883,3245412417924,Chocolat au lait du pays alpin,en:FR,e,Sugary snacks,Chocolate products,2245.0,55.0,24.0
203884,3245412418020,Chocolat Lait Noisettes,en:FR,e,Sugary snacks,Chocolate products,2341.0,45.0,23.0
203885,3245412418136,Chocolat dessert,en:FR,e,Sugary snacks,Chocolate products,2353.0,37.0,20.0
203891,3245412435263,Profiteroles au chocolat,en:FR,d,Sugary snacks,Chocolate products,1064.0,19.0,12.0
203899,3245412457128,Quatre-quarts,en:FR,e,Sugary snacks,Biscuits and cakes,1822.0,29.0,25.0
203918,3245412522956,Barres substituts de repas Goût chocolat,en:FR,c,Sugary snacks,Sweets,1550.0,19.0,10.0
203938,3245412584800,"Sirop, Anis ",en:FR,e,Beverages,Sweetened beverages,1293.0,62.0,20.0
203963,3245412697791,"100 % Pur Fruit Pressé, Jus de raisin, de cranberry et purée de framboise ",en:FR,d,Beverages,Fruit juices,241.0,12.9,8.0
203965,3245412707254,Limonade Light 0 sucres 33 cl Carrefour,en:FR,c,Beverages,Sweetened beverages,1.0,0.02,2.0
203966,3245412707261,Limonade Light 0 sucres (lot de 6 x 33 cl) Carrefour,en:FR,c,Beverages,Sweetened beverages,1.0,0.02,2.0
203997,3245412751929,Chocolat noir,en:FR,d,Sugary snacks,Chocolate products,2140.0,2.0,11.0
204007,3245412826535,Cuillers Dégustation aux oeufs frais,en:FR,d,Sugary snacks,Biscuits and cakes,1557.0,53.0,15.0
204011,3245412860720,Chocolat blanc à la noix de coco et aux amandes brisées,en:FR,e,Sugary snacks,Chocolate products,2443.0,44.0,24.0
204031,3245412950773,Petits marrons glacés et morceaux,en:FR,c,Sugary snacks,Sweets,1349.0,46.0,10.0
204039,3245412962233,Fraîcheurs Rocher Lait Eclats de Noisettes caramélisés,en:FR,e,Sugary snacks,Sweets,2442.0,48.0,25.0
204040,3245412962318,Chardons liqueurs assorties,en:FR,e,Sugary snacks,Chocolate products,1856.0,67.0,23.0
204041,3245412963490,Pain d'épices au miel,en:FR,d,Sugary snacks,Biscuits and cakes,1386.0,47.0,12.0
204043,3245412966613,Gateau Marbré aux Pépites de Chocolat,en:FR,d,Sugary snacks,Biscuits and cakes,1779.0,28.0,13.0
204046,3245412967498,Cake aux fruits Carrefour en tranches,en:FR,d,Sugary snacks,Biscuits and cakes,1707.0,35.0,18.0
