,code,product_name,countries,nutrition_grade_fr,pnns_groups_1,pnns_groups_2,energy_100g,sugars_100g,nutrition-score-fr_100g
106,36252,Lion Peanut x2,en:FR,e,Sugary snacks,Sweets,1883.0,57.5,22.0
190,10187319,Mini Confettis,en:FR,d,Sugary snacks,Sweets,1753.0,87.7,14.0
191,10207260,Praliné Amande Et Noisette,en:FR,d,Sugary snacks,Sweets,2406.0,50.3,14.0
218,20424640,Belgische Pralinen,Germany,e,Sugary snacks,Sweets,2257.0,51.5,26.0
226,40608754,"Pepsi, Nouveau goût !",en:FR,e,Beverages,Sweetened beverages,177.0,10.4,13.0
240,87177756,7Up,en:FR,e,Beverages,Sweetened beverages,177.0,10.4,13.0
242,10,Madeleines nature,en:FR,d,Sugary snacks,Biscuits and cakes,1900.0,26.0,12.0
279,30,Cakes Raisins,en:FR,d,Sugary snacks,Biscuits and cakes,1768.0,28.0,13.0
283,31,Cakes aux Fruits,en:FR,d,Sugary snacks,Biscuits and cakes,1670.0,34.0,12.0
299,50,Financiers aux Amandes,en:FR,e,Sugary snacks,Biscuits and cakes,1868.0,39.0,22.0
301,51,Fondants Citron,en:FR,e,Sugary snacks,Biscuits and cakes,1896.0,37.0,22.0
360,790310013,Sour Fruit Gummies,Germany,d,Sugary snacks,Sweets,1360.0,57.5,14.0
361,790310020,Jelly Fish,Germany,c,Sugary snacks,Sweets,586.0,24.0,6.0
428,104,30 Panach' Fruits,en:FR,d,Sugary snacks,Biscuits and cakes,1724.0,31.0,13.0
454,11693,All Buter Belgian White Chocolate Chunk Cookies,en:FR,e,Sugary snacks,Biscuits and cakes,2172.0,33.5,26.0
458,11778,Stem Ginger Cookies,en:FR,d,Sugary snacks,Biscuits and cakes,1809.0,35.7,18.0
459,11815,Stem Ginger Dunkers,en:FR,e,Sugary snacks,Biscuits and cakes,1981.0,31.8,20.0
508,227,Bijou Caramel ChocoLait,en:FR,e,Sugary snacks,Biscuits and cakes,1807.0,37.0,19.0
9744,1151,Mini Crêpes ChocoLait,en:FR,e,Sugary snacks,Biscuits and cakes,2018.0,48.0,24.0
9890,11747615105,Ginger candy,en:FR,d,Sugary snacks,Sweets,1632.0,70.3,14.0
9891,117746,Reduced Fat Belgian Chocolate Chunk Cookies,en:FR,e,Sugary snacks,Biscuits and cakes,1928.0,44.4,24.0
11272,14100096979,Chocolate Chunk Crispy Cookies - Dark Chocolate Pecan,en:FR,e,Sugary snacks,Biscuits and cakes,2269.0,34.0,21.0
11273,14100096986,Chocolate Chunk Dark Double Chocolate Crispy Cookies,en:FR,e,Sugary snacks,Biscuits and cakes,2131.0,34.8,21.0
11275,14100097006,Chocolate Chunk Milk Chocolate Macadamia Crispy Cookies,en:FR,e,Sugary snacks,Biscuits and cakes,2230.0,32.6,21.0
11276,14100097013,Chocolate Chunk White Chocolate Macadamia Crispy Cookies,en:FR,e,Sugary snacks,Biscuits and cakes,2238.0,30.4,20.0
11277,14100097037,Soft Baked Chocolate Chunk Dark Chocolat Brownie,en:FR,e,Sugary snacks,Biscuits and cakes,1946.0,41.7,21.0
11278,14100097068,Oatmeal Raisin,en:FR,d,Sugary snacks,Biscuits and cakes,1753.0,41.9,16.0
11281,14100098980,Soft Baker chocolate chunk,en:FR,e,Sugary snacks,Biscuits and cakes,1916.0,40.8,22.0
13112,16229004507,Foco basil seed drink,en:FR,e,Beverages,Sweetened beverages,266.0,13.3,18.0
13129,16229901141,Coconut Juice,en:FR,b,Beverages,Fruit juices,142.0,6.29,0.0
13133,16229901226,Lychee drink,en:FR,e,Beverages,Sweetened beverages,187.0,11.0,15.0
13134,16229901479,coconut juice,en:FR,b,Beverages,Fruit juices,140.0,6.25,0.0
13135,16229902643,Roasted Coconut Juice,en:FR,c,Beverages,Fruit juices,172.0,8.9,2.0
13138,16229903534,Soursop Juice,en:FR,e,Beverages,Sweetened beverages,184.0,11.0,15.0
13419,1664,Brins de ChocoCaramel,en:FR,e,Sugary snacks,Biscuits and cakes,1960.0,50.0,24.0
15157,19281700110,Boisson a base de jus de lychee,en:FR,e,Beverages,Sweetened beverages,192.0,11.3,15.0
15163,19320015441,Shortbread Cookies,en:FR,d,Sugary snacks,Biscuits and cakes,2040.0,18.6,17.0
19458,22000015969,Wild Berry Skittles,en:FR,d,Sugary snacks,Sweets,1690.0,63.0,18.0
19493,220347,Diet Lemonade,en:FR,c,Beverages,Sweetened beverages,42.0,0.2,3.0
19570,22314010018,Crème de marrons de l'Ardèche,en:FR,c,Sugary snacks,Sweets,1130.0,50.2,10.0
24953,29801025036,Gaufrettes fines,en:FR,e,Sugary snacks,Biscuits and cakes,2056.0,36.0,23.0
25051,29981004067,Pandoro - Italian Speciality Cake,en:FR,d,Sugary snacks,Biscuits and cakes,1618.0,13.3,16.0
25067,30000012109,Quaker Original,en:FR,a,Cereals and potatoes,Breakfast cereals,1490.0,0.0,0.0
25086,30000065075,Peanut Butter Crunch,en:FR,d,Cereals and potatoes,Breakfast cereals,1700.0,33.3,18.0
27153,31200490032,Cranberry Classic,en:FR,e,Beverages,Sweetened beverages,209.0,12.0,15.0
27215,31290718115,Dark chocolate almond,en:FR,e,Sugary snacks,Chocolate products,2333.0,24.0,21.0
28062,322881,Pure squeezed Florida orange juice with juicy bits,en:FR,c,Beverages,Fruit juices,179.0,9.2,3.0
29067,34000003341,White Reese's Peanut Butter Cups,en:FR,e,Sugary snacks,Sweets,2268.0,44.8,29.0
29090,34000114702,Reese's Pieces,en:FR,e,Sugary snacks,Sweets,2090.0,52.5,22.0
29120,34000440887,Reese's,en:FR,e,Sugary snacks,Chocolate products,2278.0,50.1,29.0
29122,34000441037,Peanut butter cups,en:FR,e,Sugary snacks,Chocolate products,2299.0,50.2,29.0
29129,34000448609,Peanut Butter Cups Miniatures,en:FR,e,Sugary snacks,Sweets,2090.0,52.3,26.0
29130,34000449095,Peanut Butter Cups Miniatures,en:FR,e,Sugary snacks,Sweets,2289.0,51.7,25.0
29140,34000473038,Milk Chocolate Reese's Peanut Butter,en:FR,e,Sugary snacks,Chocolate products,2090.0,47.1,24.0
30000,356398,Jus de pommes et de mangues pressé non à base de concentré,en:FR,d,Beverages,Fruit juices,205.0,11.1,6.0
34632,37600106412,Skippy extra-crunchy supercrunch,en:FR,d,Sugary snacks,Sweets,2679.0,9.4,16.0
35195,38000219634,Frosted Flakes,en:FR,d,Cereals and potatoes,Breakfast cereals,1600.0,35.3,12.0
35204,38000391200,Froot Loops,en:FR,d,Cereals and potatoes,Breakfast cereals,1590.0,41.4,14.0
35807,39047001312,Pure Butter Shortbread Triangles,en:FR,e,Sugary snacks,Biscuits and cakes,2092.0,20.0,23.0
35826,39047011496,Pure Butter Chocolate Chip Shortbread,en:FR,e,Sugary snacks,Biscuits and cakes,2168.0,25.7,22.0
35857,39047153547,Biscuits à l'avoine aux myrtilles et à la vanille,en:FR,b,Sugary snacks,Biscuits and cakes,1881.0,18.8,1.0
36080,393072,Diet Sparkling Florida Orange,en:FR,c,Beverages,Sweetened beverages,29.0,0.8,2.0
54740,42272010523,Vanilla Organic Non-Dairy,en:FR,d,Milk and dairy products,Ice cream,778.0,13.0,14.0
54741,422720105530,Glace au chocolat végane,en:FR,d,Milk and dairy products,Ice cream,791.0,13.0,13.0
56727,44000032586,Golden Oreo,en:FR,e,Sugary snacks,Biscuits and cakes,1970.0,35.3,20.0
56734,44000037420,Oreo smile,en:FR,d,Sugary snacks,Biscuits and cakes,1980.0,40.4,18.0
58688,469258,Chocolate Chip Cookies,en:FR,e,Sugary snacks,Biscuits and cakes,2080.0,35.3,21.0
58756,473170,6 scones aux raisins de Smyrne,en:FR,d,Sugary snacks,Biscuits and cakes,1472.0,20.5,17.0
64406,52302222222,Chocolat au lait aux noisettes entières,en:FR,e,Sugary snacks,Chocolate products,2400.0,42.5,21.0
64664,52600112751,Marshmallow Fluff,en:FR,d,Sugary snacks,Sweets,1382.0,49.0,14.0
64665,52600312755,Marshmallow Fluff Fraise,en:FR,d,Sugary snacks,Sweets,1382.0,49.0,14.0
64666,52600412752,FLUFF Caramel,en:FR,d,Sugary snacks,Sweets,1381.0,49.0,14.0
65620,54308184412,Kola Champron Original,en:FR,e,Beverages,Sweetened beverages,243.0,14.4,19.0
66187,564939,Jelly Belly® jelly beans,en:FR,d,Sugary snacks,Sweets,1540.0,60.8,14.0
66264,573924,Double Chocolate Muffin Mix,en:FR,e,Sugary snacks,Biscuits and cakes,1895.0,46.1,21.0
66599,587761,fairtrade brazil nut cookies,en:FR,d,Sugary snacks,Biscuits and cakes,2235.0,22.1,18.0
67224,62020000842,Nutella,en:FR,e,Sugary snacks,Sweets,2272.0,57.0,21.0
67437,64100589940,Céréales rice krispies,en:FR,d,Cereals and potatoes,Breakfast cereals,1640.0,10.7,13.0
67928,66721000880,BelVita Petit-déjeuner Avoine aux bananes et chocolat tendres,en:FR,c,Sugary snacks,Biscuits and cakes,1590.0,20.0,9.0
68026,67311048671,Collection Nature Orange Framboise Fruit de la Passion,en:FR,c,Beverages,Fruit juices,201.0,11.2,5.0
76610,71567998338,Dragées surprises de Bertie Crochue,en:FR,d,Sugary snacks,Sweets,1570.0,70.4,14.0
76638,71570000615,Dragées Surprises de Bertie Crochue,en:FR,d,Sugary snacks,Sweets,1523.0,62.0,14.0
80631,72417145889,Luxury Cookies Nougatine,en:FR,e,Sugary snacks,Biscuits and cakes,2152.0,34.4,24.0
80632,72417146831,Z'animo,en:FR,e,Sugary snacks,Biscuits and cakes,2092.0,27.2,21.0
80634,72417152924,Finger,en:FR,e,Sugary snacks,Biscuits and cakes,2134.0,39.3,21.0
80636,72417153181,Finger blanc,en:FR,e,Sugary snacks,Biscuits and cakes,2165.0,31.0,22.0
80638,72417156069,Cookies Milk & Hazelnut Chunk Sensations,en:FR,e,Sugary snacks,Biscuits and cakes,2228.0,33.8,24.0
80826,72457880559,Chocolat Noir Mendiant ,en:FR,e,Sugary snacks,Chocolate products,2380.0,34.0,24.0
84654,73491024015,Crème Caramel Flan,en:FR,c,Milk and dairy products,Dairy desserts,594.0,24.78,6.0
85796,741316,Marks&Spencer rich tea biscuits,en:FR,d,Sugary snacks,Biscuits and cakes,1910.0,18.7,14.0
85802,741590,Sugar Free Cloudy Lemonade,en:FR,c,Beverages,Sweetened beverages,13.0,0.1,2.0
86731,744485,Custard creams,en:FR,e,Sugary snacks,Biscuits and cakes,2037.0,28.4,21.0
90923,76084932100,Special K nature,en:FR,c,Cereals and potatoes,Breakfast cereals,1588.0,17.0,6.0
92093,76677100145,Chocolate Chip,en:FR,e,Sugary snacks,Biscuits and cakes,2090.0,32.1,19.0
92501,76840600021,Cookie Dough Ben & Jerry's 425 G,en:FR,d,Milk and dairy products,Ice cream,1130.0,25.0,16.0
92505,76840620036,Half Baked Ice Cream,Germany,d,Milk and dairy products,Ice cream,1099.0,27.0,16.0
93405,77330566087,Biscuits à l'avoine et aux canneberges,en:FR,e,Sugary snacks,Biscuits and cakes,2077.0,29.0,22.0
93406,77330566223,Chocolate Chip Cookies,en:FR,e,Sugary snacks,Biscuits and cakes,2030.0,36.4,20.0
99325,789400,Extremely Chocolatey Millionaire's Caramel Crispy Mini Bites,en:FR,e,Sugary snacks,Biscuits and cakes,1963.0,43.7,24.0
99452,79200616007,Wonka Nerds Starwberry And Grape Theatre,en:FR,d,Sugary snacks,Sweets,1757.0,98.0,15.0
101132,819077,"Berries, Cherries & Flakes ",en:FR,c,Cereals and potatoes,Breakfast cereals,1566.0,14.5,6.0
101140,819367,Traditional British Porridge Oats,en:FR,a,Cereals and potatoes,Breakfast cereals,1500.0,1.2,0.0
102180,84909104175,Jus de coco congelé,en:FR,c,Beverages,Fruit juices,201.0,10.0,4.0
104651,853040,Blackcurrant conserve,en:FR,c,Sugary snacks,Sweets,1031.0,56.8,10.0
104652,853118,Ruby red grapefruit marmalade,en:FR,d,Sugary snacks,Sweets,1097.0,62.9,11.0
106838,90478410012,Mandarine,en:FR,e,Beverages,Sweetened beverages,192.0,11.9,15.0
106839,90478410029,Jarritos Tamarind,en:FR,e,Beverages,Sweetened beverages,157.0,9.17,13.0
107062,913744,Muesli,en:FR,a,Cereals and potatoes,Breakfast cereals,1632.0,20.0,0.0
107103,916592,"Apple, pineapple, mango & coconut water juice",en:FR,c,Beverages,Fruit juices,193.0,8.4,2.0
107240,922661,Pressed Pink Lady Apple Juice,en:FR,d,Beverages,Fruit juices,213.0,10.8,6.0
109317,974127,Coconut water with pineapple juice,en:FR,e,Beverages,Sweetened beverages,142.0,7.5,10.0
109745,993739,spiced British apple juice,en:FR,c,Beverages,Fruit juices,190.0,10.4,4.0
111111,01082388,Intense Appel & Mango Juice,en:FR,c,Beverages,Fruit juices,192.0,8.6,3.0
111476,0124500007908,Yogurette,Germany,e,Sugary snacks,Chocolate products,2382.0,55.4,27.0
111753,01611144,Schoko-bons,en:FR,e,Sugary snacks,Sweets,2401.0,52.2,28.0
112620,0200024012175,Lakridsknapper,Germany,d,Sugary snacks,Sweets,1484.0,66.0,14.0
112625,0200024018085,Belgiske Trøfler,Germany,e,Sugary snacks,Sweets,2339.0,46.0,27.0
112785,0202721024277,Pyramide Décongelé X 2  Croustillant Chocolat,en:FR,d,Sugary snacks,Biscuits and cakes,1541.0,21.0,18.0
112786,0202722024276,Craquant Décongelé Fruits Rouge X 2,en:FR,d,Sugary snacks,Biscuits and cakes,944.0,28.0,13.0
113859,0222226260345,jus d'ananas bio,en:FR,d,Beverages,Fruit juices,223.0,11.9,6.0
114210,0261450121718,Biscuits p'tit dej bio,en:FR,d,Sugary snacks,Biscuits and cakes,1889.0,19.8,11.0
114501,0297394022835,Mûres Confiture Extra,en:FR,d,Sugary snacks,Sweets,1088.0,57.5,12.0
114968,322475120435,Gaufrettes aux Framboises,en:FR,d,Sugary snacks,Biscuits and cakes,1530.0,38.0,13.0
115012,325798483058,100 % pur jus Orange,en:FR,c,Beverages,Fruit juices,193.0,10.0,4.0
115647,422142677887,Pure premium Clémentine 100% pur jus,en:FR,c,Beverages,Fruit juices,211.0,10.4,4.0
116245,4930259,Atomic,en:FR,e,Sugary snacks,Sweets,1700.0,65.4,21.0
118301,612114788257,Grand Arôme,en:FR,e,Beverages,Sweetened beverages,1575.0,67.0,17.0
118444,613008730697,Iced Tea with Lemon Flavour,en:FR,e,Beverages,Sweetened beverages,126.0,8.7,11.0
118445,613008730710,Ici tea peach flavor,en:FR,e,Beverages,Sweetened beverages,116.0,8.0,10.0
118447,613008730758,Pomegranate Green Tea,en:FR,e,Beverages,Sweetened beverages,129.0,8.7,11.0
118473,613008736224,Green tea pomegranate,en:FR,e,Beverages,Sweetened beverages,130.0,8.7,11.0
118474,613008736255,Arizona Lite Half Iced Tea & Half Lemonade,en:FR,d,Beverages,Sweetened beverages,84.0,5.7,7.0
118495,613008739058,Mucho mango,en:FR,e,Beverages,Sweetened beverages,143.0,8.6,11.0
118497,613008739119,Strawberry Lemonade,en:FR,e,Beverages,Sweetened beverages,147.0,8.8,11.0
118526,613008742652,Cowboy cocktail Mucho mango,en:FR,e,Beverages,Sweetened beverages,142.0,8.6,11.0
120510,637793002500,Th Dundee orange marmalade,en:FR,d,Sugary snacks,Sweets,1145.0,66.7,13.0
121946,652655000159,"Raspberry, White Chocolate and Pistachio Crumbles",en:FR,e,Sugary snacks,Biscuits and cakes,1824.0,26.0,23.0
122248,655762001040,Choc Chunk Shortbread,en:FR,e,Sugary snacks,Biscuits and cakes,2231.0,25.3,22.0
122256,655852000267,Vanilla Crunch Granola,en:FR,c,Cereals and potatoes,Breakfast cereals,1840.0,34.0,8.0
123890,680569854100,Dessert Végétal Nature,en:FR,d,Sugary snacks,Sweets,543.0,2.5,11.0
127314,694990008506,Pim's Orange,en:FR,e,Sugary snacks,Biscuits and cakes,1670.0,56.0,20.0
127488,697893253264,Palets aux Perles de Chocolat,en:FR,e,Sugary snacks,Biscuits and cakes,2210.0,23.6,19.0
128703,707966789788,Boisson de mango,en:FR,e,Beverages,Fruit nectars,296.0,16.2,20.0
136290,7283244,100 % cacao,en:FR,c,Sugary snacks,Chocolate products,1603.0,0.4,10.0
138108,737282310700,Céréales Croque-matin chocolat,en:FR,e,Cereals and potatoes,Breakfast cereals,1987.0,23.0,22.0
142828,760712160019,Canne Cola,en:FR,e,Beverages,Sweetened beverages,188.0,11.5,15.0
143198,762210162489,Carambar Mystery,en:FR,d,Sugary snacks,Sweets,1665.0,57.5,18.0
146941,793573781055,Choco Stix,en:FR,e,Sugary snacks,Biscuits and cakes,2090.0,36.7,22.0
148159,804531111606,Coconut drink,en:FR,e,Beverages,Sweetened beverages,274.0,6.36,19.0
150046,812475012255,Allure Mango,en:FR,e,Beverages,Sweetened beverages,293.0,18.0,30.0
152808,818715010074,Nougat Bar,en:FR,d,Sugary snacks,Sweets,1611.0,46.0,15.0
155400,836110002074,Barre de Chocolat aux Amandes NewTree,en:FR,d,Sugary snacks,Chocolate products,2020.0,26.7,16.0
155758,838948007559,Noisettes Grillées Noir,en:FR,e,Sugary snacks,Chocolate products,2356.0,37.0,25.0
155893,8406615,100% pur jus Orange Sanguine de Sicile,en:FR,c,Beverages,Fruit juices,190.0,10.5,4.0
156400,845163008872,Watermelon Aloe,en:FR,e,Beverages,Sweetened beverages,649.0,9.0,16.0
163140,855461003479,Aeroshot Chocolate,en:FR,d,Sugary snacks,Sweets,1281.0,43.0,14.0
168704,870719000208,Lemon Puff,en:FR,d,Sugary snacks,Biscuits and cakes,1850.0,1.1,12.0
168876,872447000178,Panettone classico ,en:FR,d,Sugary snacks,Biscuits and cakes,1506.0,24.0,14.0
170067,883366000200,Mélange De Céréales Granola Divin,en:FR,a,Cereals and potatoes,Breakfast cereals,920.0,18.0,0.0
171529,888829601901, Ginger drink ,en:FR,e,Beverages,Sweetened beverages,1687.0,91.0,20.0
173106,8958860,Chamallow,en:FR,d,Sugary snacks,Sweets,1411.0,68.0,14.0
173957,898575001375,Chocolat au Lait de Madagascar,en:FR,e,Sugary snacks,Chocolate products,2452.0,40.0,25.0
174418,978869101018,crème glacée saveur chocolat ,Belgium,d,Milk and dairy products,Ice cream,871.0,20.7,12.0
174446,992695,Mini Sour JELLY BEANS,en:FR,d,Sugary snacks,Sweets,1582.0,57.7,14.0
174447,992732,Mini Fruity JELLY BEANS,en:FR,d,Sugary snacks,Sweets,1588.0,60.6,14.0
174540,1001462530004,Tårta Mörk Choklad,Germany,e,Sugary snacks,Biscuits and cakes,1800.0,28.0,22.0
174561,1003068160005,Cider Päron,en:FR,e,Beverages,Sweetened beverages,171.0,9.9,13.0
174681,10744204,Dimes apricot,en:FR,d,Beverages,Fruit nectars,231.4,13.1,7.0
174693,10908767,Special Flakes Chocolate,en:FR,c,Cereals and potatoes,Breakfast cereals,1716.0,16.5,8.0
174703,11019091,Duo,Belgium,e,Sugary snacks,Sweets,2378.0,57.9,25.0
174716,1110529,Cookie snack,en:FR,c,Sugary snacks,Biscuits and cakes,2192.0,21.3,9.0
174735,11122087,Les Surgelés - Fondant au Chocolat ,en:FR,e,Sugary snacks,Biscuits and cakes,1967.0,29.7,21.0
174777,11254607,Schovit,en:FR,d,Sugary snacks,Chocolate products,1600.0,78.0,12.0
174779,1126542,Madeleines Amande,en:FR,e,Sugary snacks,Biscuits and cakes,2176.0,29.5,25.0
174839,1201509270003,Sockerfria Kakor Havre,en:FR,e,Sugary snacks,Biscuits and cakes,2060.0,0.4,20.0
174847,1203080940009,Choklad Mörk ,en:FR,e,Sugary snacks,Chocolate products,2320.0,31.0,22.0
174961,1301416092405,Cocktail pomme groseille ,en:FR,c,Beverages,Fruit juices,175.0,9.1,3.0
174966,1302190350002,Godis Julkola,en:FR,e,Sugary snacks,Sweets,1800.0,66.0,22.0
174971,1302959200005,Marmelad Apelsin & Fläder,en:FR,d,Sugary snacks,Sweets,1126.0,62.0,12.0
174972,1303058010007,Kakor hallon ,en:FR,e,Sugary snacks,Biscuits and cakes,1990.0,37.0,25.0
174973,1303102230009,Ekologiskt Iste talllsmak,en:FR,d,Beverages,Sweetened beverages,80.0,4.5,6.0
174982,1323896241869,Zarte Haferflocken,Germany,a,Cereals and potatoes,Breakfast cereals,1561.0,1.3,0.0
174988,1350278157838,Orange Pamplemousse à la Framboise,en:FR,c,Beverages,Fruit juices,182.0,8.8,2.0
175005,140023,Chocolat Saveurs de Fêtes,en:FR,d,Sugary snacks,Chocolate products,2257.0,23.6,16.0
175006,1401290200009,KEX,en:FR,d,Sugary snacks,Biscuits and cakes,1757.0,19.0,16.0
175013,1402517320005,Pepparkaka,en:FR,e,Sugary snacks,Biscuits and cakes,1946.0,33.0,25.0
175015,1402939250003,Choklad Ljus,en:FR,e,Sugary snacks,Chocolate products,2167.0,60.0,26.0
175017,1402978910005,Müsli (Muesli with dried berries) ,Spain,c,Cereals and potatoes,Breakfast cereals,1541.0,11.0,3.0
175020,140510,Sarrasin Soufflé au Miel Bio,en:FR,c,Cereals and potatoes,Breakfast cereals,1657.0,27.6,7.0
175076,1501497770005,Dryck Lingon,en:FR,e,Beverages,Sweetened beverages,151.0,8.9,12.0
175125,1602259160000,Pepparkaka citrus,en:FR,e,Sugary snacks,Biscuits and cakes,1907.0,35.0,23.0
175128,1602501330007,Chokladkrokant Bredbar,en:FR,e,Sugary snacks,Sweets,2300.0,59.0,24.0
175139,16154650,Glace à la Vanille de Madagascar ,en:FR,c,Milk and dairy products,Ice cream,1766.0,13.0,9.0
175165,1701246860005,Galettes doubles au chocolat,en:FR,e,Sugary snacks,Biscuits and cakes,2117.0,41.0,27.0
175170,1702501420002,Dryck Julmust,en:FR,e,Beverages,Sweetened beverages,162.0,9.3,13.0
175218,1803068170000,Cider Äpple,en:FR,e,Beverages,Sweetened beverages,171.0,9.9,13.0
175247,19127867,Finest Dark chocolate,en:FR,e,Sugary snacks,Chocolate products,2365.0,27.0,22.0
175278,2000000000091,Best Stawberry-cheesecake,en:FR,d,Milk and dairy products,Ice cream,1120.0,23.7,18.0
175281,2000000000094,palmier pur beurre,en:FR,e,Sugary snacks,Biscuits and cakes,2004.0,22.8,22.0
175282,2000000000095,Best vanille/Amande/Caramel au beurre salé,en:FR,d,Milk and dairy products,Ice cream,1090.0,24.8,16.0
175289,2000000000255,Coca Cola,en:FR,e,Beverages,Sweetened beverages,180.0,10.6,14.0
175295,2000000000394,Orangina,en:FR,e,Beverages,Sweetened beverages,179.0,10.2,13.0
175378,2000000002676,Zumo de manzana exprimido ecológico &quot;GutBio&quot;,Spain,c,Beverages,Fruit juices,187.0,11.0,5.0
175398,2000000003241,Premium Cola,Germany,e,Beverages,Sweetened beverages,172.0,10.0,13.0
175410,2000000003644,Chocolate negro 85% cacao,Spain,e,Sugary snacks,Chocolate products,2500.0,13.8,21.0
175433,2000000003783,Moyen Coca-Cola,en:FR,e,Beverages,Sweetened beverages,178.0,11.0,14.0
175434,2000000003784,Coca Cola Zero (40cl),en:FR,b,Beverages,Sweetened beverages,0.0,0.0,0.0
175435,2000000003785,Sprite,en:FR,e,Beverages,Sweetened beverages,126.0,7.0,10.0
175436,2000000003786,Fanta Orange,en:FR,e,Beverages,Sweetened beverages,167.0,9.0,12.0
175438,2000000003788,Minute Maid (30cl) *,en:FR,b,Beverages,Fruit juices,188.0,3.3,0.0
175483,2000000007885,Yo Fruit Fraise,Belgium,d,Sugary snacks,Biscuits and cakes,1750.0,41.2,17.0
175484,2000000007886,Jus de pomme à base de concentré,Belgium,c,Beverages,Fruit juices,180.0,9.8,3.0
175492,2000000008252,Pampryl Orange,en:FR,c,Beverages,Fruit juices,193.0,9.0,3.0
175499,2000000009015,Diego ananas mangue,en:FR,d,Beverages,Fruit juices,232.0,12.0,6.0
175528,2000000010205,Semoule au lait saveur Vanille,en:FR,c,Milk and dairy products,Dairy desserts,510.0,18.0,4.0
175544,2000000011202,Edelbitterschokolade Sao Thomé 75% Kakao,Germany,d,Sugary snacks,Chocolate products,2314.0,21.9,15.0
175559,2000000012061,Mantecados de aceite de oliva &quot;DOR&quot;,Spain,c,Sugary snacks,Sweets,1976.0,26.5,10.0
175561,2000000012159,Figuritas de mazapán &quot;DOR&quot;,Spain,c,Sugary snacks,Sweets,1960.0,37.0,10.0
175573,2000000013584,Chocolate negro con almendras y naranja 52% cacao,Spain,e,Sugary snacks,Chocolate products,2240.0,47.1,26.0
175658,2000000016715,Pepito pepites,en:FR,e,Sugary snacks,Biscuits and cakes,1850.0,28.0,20.0
175676,2000000017537,Mon jus de pomme Bio,en:FR,c,Beverages,Fruit juices,201.0,12.0,5.0
175695,2000000017973,Mousse au chocolat à l'ancienne,en:FR,e,Sugary snacks,Chocolate products,1463.0,19.2,19.0
175696,2000000018008,Nescafé Cappuccino,en:FR,e,Beverages,Sweetened beverages,1610.0,49.3,25.0
175715,2000000019074,McFlurry M&M's,en:FR,c,Milk and dairy products,Ice cream,818.0,25.0,8.0
175737,2000000020478,Noir dégustation 81%,en:FR,e,Sugary snacks,Chocolate products,2274.0,16.8,19.0
175830,2000000020989,Edel-Zartbitterschokolade Minze 52 % Kakao,Germany,e,Sugary snacks,Chocolate products,2284.0,48.3,26.0
175870,2000000021248,Fromage frais sucré aux fruits,en:FR,b,Milk and dairy products,Dairy desserts,453.0,12.3,0.0
175906,2000000022171,Chocolat Lindt,Belgium,d,Sugary snacks,Chocolate products,2180.0,14.9,15.0
175907,2000000022177,Jus d'orange,en:FR,c,Beverages,Fruit juices,179.0,8.6,2.0
175953,2000000023992,Edel-Zartbitterschokolade Chili 52 % Kakao,Germany,e,Sugary snacks,Chocolate products,2275.0,48.2,26.0
175957,2000000024191,Feine gemischte Nürnberger Oblaten-Lebkuchen,Germany,c,Sugary snacks,Biscuits and cakes,1610.0,39.7,10.0
175962,2000000024279,Gerblé muesli aux fruits,en:FR,a,Cereals and potatoes,Breakfast cereals,1519.0,13.0,0.0
175963,2000000024280,Crousti Muesli Fruits Rouges,en:FR,a,Cereals and potatoes,Breakfast cereals,1690.0,8.2,0.0
175966,2000000024480,Zarbitter Schokolade mit gerösteten Mandelstückchen und Orangenstückchen,Germany,e,Sugary snacks,Chocolate products,2307.0,39.9,24.0
175976,2000000024630,Biscuit chocolat céréales,en:FR,d,Sugary snacks,Biscuits and cakes,1824.0,15.0,14.0
176040,2000000026485,Chocolate negro con edulcorantes con frutas 54% cacao,Spain,d,Sugary snacks,Chocolate products,1946.0,1.0,15.0
176043,2000000026526,Donut choco-noisette,en:FR,e,Sugary snacks,Biscuits and cakes,2078.0,25.0,20.0
176047,2000000026816,Rumkugeln mit Knackigen Streuseln,Spain,e,Sugary snacks,Sweets,1595.0,66.8,19.0
176072,2000000027872,Crunchy,en:FR,b,Cereals and potatoes,Breakfast cereals,1662.0,18.8,0.0
176076,2000000028068,Leader price fine ligne,en:FR,c,Sugary snacks,Sweets,750.0,42.0,10.0
176140,2000000030754,Aloe Vera (Aloe Honey Tea),en:FR,c,Sugary snacks,Sweets,267.0,65.3,10.0
176150,2000000031209,confiture abricots,en:FR,b,Sugary snacks,Sweets,125.0,28.0,0.0
176172,2000000032118,Ice Squeeze,en:FR,c,Milk and dairy products,Ice cream,581.0,21.0,5.0
176192,2000000032518,Muesli aux fraises,en:FR,d,Cereals and potatoes,Breakfast cereals,1565.0,28.2,11.0
176206,2000000032978,Stick de confiture de prunes,en:FR,d,Sugary snacks,Sweets,1022.0,54.0,11.0
176220,2000000033325,Novly au Chocolat,en:FR,c,Milk and dairy products,Dairy desserts,380.0,15.5,3.0
176225,2000000033526,Muesli fruits rouges,en:FR,a,Cereals and potatoes,Breakfast cereals,1531.0,9.9,0.0
176238,2000000033826,"Dessert au speculoos, avec speculoos émietté",en:FR,d,Milk and dairy products,Dairy desserts,838.0,18.0,11.0
